ori,des,path,len
345,240,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_240,1552
78,8,78_49_364_46_41_378_381_352_1_127_408_71_26_341_8,443
413,242,413_250_410_411_184_183_177_189_190_211_202_235_245_239_241_242,1396
75,4,75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,1372
324,8,324_326_280_397_385_91_85_314_347_83_78_49_364_46_41_378_381_352_1_127_408_71_26_341_8,1119
300,392,300_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,1135
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,1596
238,392,238_400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_392,1656
212,51,212_153_156_157_176_177_189_190_211_202_235_246_34_33_31_356_35_338_361_353_51,1659
395,196,395_7_340_27_72_409_366_351_248_30_236_376_231_198_196,945
345,325,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,2160
345,392,345_169_369_168_373_167_166_392,471
395,80,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_80,771
324,4,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,2052
324,152,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152,1805
345,246,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246,1283
390,240,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,1535
206,392,206_196_195_180_315_185_179_418_251_164_174_159_167_166_392,1057
367,392,367_400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_392,1656
