u,v,,,key,osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,width,ref,access
97788855,97792969,9778885597792969,#N/A,0,601294004,TRUE,,Δεληγιάννη,residential,FALSE,38.275,"LINESTRING (23.7351829 37.98925, 23.7356115 37.9891838)",,,,
97792969,97792973,9779296997792973,#N/A,0,438352614,TRUE,,Δεληγιάννη,residential,FALSE,32.766,"LINESTRING (23.7356115 37.9891838, 23.7359784 37.9891271)",,,,
97792969,1303525204,977929691303525204,#N/A,0,438352615,TRUE,,Τσαμαδού,residential,FALSE,50.101,"LINESTRING (23.7356115 37.9891838, 23.7357192 37.9896263)",,4,,
97792973,359096435,97792973359096435,97792973359096435,0,188661340,FALSE,,Καλλιδρομίου,residential,FALSE,11.503,"LINESTRING (23.7359784 37.9891271, 23.7360856 37.9891868)",,,,
97797051,97797090,9779705197797090,#N/A,0,693488162,TRUE,,Μετσόβου,residential,FALSE,46.48,"LINESTRING (23.7338542 37.9903727, 23.733335 37.9904581)",,6,,
97797051,358464166,97797051358464166,#N/A,0,228109849,TRUE,,Μπουμπουλίνας,tertiary,FALSE,53.082,"LINESTRING (23.7338542 37.9903727, 23.7339198 37.9906355, 23.7339711 37.9908411)",,5,,
97797081,97788769,9779708197788769,#N/A,0,31985276,TRUE,,Ζαΐμη,residential,FALSE,99.442,"LINESTRING (23.7344657 37.990272, 23.7342533 37.9893935)",,6,,
97797081,97797051,9779708197797051,#N/A,0,693488162,TRUE,,Μετσόβου,residential,FALSE,54.745999999999995,"LINESTRING (23.7344657 37.990272, 23.7339111 37.9903634, 23.7338542 37.9903727)",,6,,
97797086,97797081,9779708697797081,#N/A,0,693488162,TRUE,,Μετσόβου,residential,FALSE,43.296,"LINESTRING (23.7349494 37.9901927, 23.7344657 37.990272)",,6,,
97797086,358464018,97797086358464018,#N/A,0,10971776,TRUE,,Νοταρά,residential,FALSE,100.692,"LINESTRING (23.7349494 37.9901927, 23.7351545 37.9910161, 23.7351706 37.9910813)",,6,,
97797090,97797197,9779709097797197,#N/A,0,10972565,TRUE,,Σαριπόλου,residential,FALSE,97.383,"LINESTRING (23.733335 37.9904581, 23.7331204 37.9895988)",,,,
97797090,97797093,9779709097797093,#N/A,0,693488162,TRUE,,Μετσόβου,residential,FALSE,46.327,"LINESTRING (23.733335 37.9904581, 23.7328175 37.9905432)",,6,,
97797093,97797186,9779709397797186,#N/A,0,10972563,TRUE,,Ρεθύμνου,residential,FALSE,50.819,"LINESTRING (23.7328175 37.9905432, 23.7327041 37.990095)",,6,,
97797093,97797098,9779709397797098,#N/A,0,693488162,TRUE,,Μετσόβου,residential,FALSE,65.672,"LINESTRING (23.7328175 37.9905432, 23.7321603 37.9906512, 23.7320839 37.9906638)",,6,,
97797098,97797102,9779709897797102,#N/A,0,693488162,TRUE,,Μετσόβου,residential,FALSE,83.147,"LINESTRING (23.7320839 37.9906638, 23.7311551 37.9908165)",,6,,
97797098,358464213,97797098358464213,#N/A,0,31985292,TRUE,1,Μαυροματαίων,secondary,FALSE,53.54,"LINESTRING (23.7320839 37.9906638, 23.7321872 37.9910812, 23.7322008 37.9911364)",,7,,
97797102,515962403,97797102515962403,#N/A,0,243850915,TRUE,2,Πατησίων,primary,FALSE,53.781000000000006,"LINESTRING (23.7311551 37.9908165, 23.731226 37.9910934, 23.7312353 37.9911296, 23.7312765 37.9912906)",,,ΕΟ1,
97797184,97797196,9779718497797196,#N/A,0,31985292,TRUE,1,Μαυροματαίων,secondary,FALSE,47.081,"LINESTRING (23.7318686 37.9897925, 23.7319713 37.9902081)",,7,,
97797184,97797191,9779718497797191,#N/A,0,"[741721488, 738028726]",TRUE,,Βασιλέως Ηρακλείου,tertiary,FALSE,65.22200000000001,"LINESTRING (23.7318686 37.9897925, 23.732338 37.9897198, 23.7325989 37.9896795)",,8,,
